Годы,Прибывшие - всего,Выбывшие - всего,Миграционный прирост
1990,5176332,4720270,456062
1991,4383020,4155649,227371
1992,4192798,3806409,386389
1993,3826115,3450277,375838
1994,4208308,3330776,877532
1995,3997139,3393941,603198
1996,3533890,3090594,443296
1997,3322593,2931466,391127
1998,3095508,2774310,321198
1999,2856731,2672709,184022
2000,2662329,2420574,241755
2001,2334034,2252253,81781
2002,2201914,2114765,87149
2003,2168168,2124284,43884
2004,2117434,2076159,41275
2005,2088639,1981207,107432
2006,2122071,1989752,132319
2007,2284936,2044993,239943
2008,2215945,1973839,242106
2009,1987598,1740149,247449
2010,2102304,1944226,158078
2011,3415055,3095294,319761
2012,4196143,3901213,294930
2013,4496861,4201002,295859
2014,4663427,4363437,299990
2015,4734523,4489139,245384
2016,4706411,4444463,261948
2017,4773500,4561622,211878
2018,4911566,4786712,124854
2019,4749769,4464666,285103
2020,4120743,4014269,106474
2021,4277442,3847540,429902
2022,4195579,4133662,61917
2023,4051437,3847808,203629

