Годы,родившихся,умерших,естественныйприрост,родившихсяна1000человек,умершихна1000человек,естественныйприростна1000человек
1950,2745997,1031010,1714987,26.9,10.1,16.8
1960,2782353,886090,1896263,23.2,7.4,15.8
1970,1903713,1131183,772530,14.6,8.7,5.9
1980,2202779,1525755,677024,15.9,11,4.9
1990,1988858,1655993,332865,13.4,11.2,2.2
1995,1363806,2203811,-840005,9.3,15,-5.7
2000,1266800,2225332,-958532,8.7,15.3,-6.6
2001,1311604,2254856,-943252,9,15.6,-6.6
2002,1396967,2332272,-935305,9.7,16.2,-6.5
2003,1477301,2365826,-888525,10.2,16.4,-6.199999999999999
2004,1502477,2295402,-792925,10.4,15.9,-5.5
2005,1457376,2303935,-846559,10.2,16.1,-5.900000000000002
2006,1479637,2166703,-687066,10.3,15.1,-4.799999999999999
2007,1610122,2080445,-470323,11.3,14.6,-3.299999999999999
2008,1713947,2075954,-362007,12,14.5,-2.5
2009,1761687,2010543,-248856,12.3,14.1,-1.799999999999999
2010,1788948,2028516,-239568,12.5,14.2,-1.6999999999999993
2011,1796629,1925720,-129091,12.6,13.5,-0.9
2012,1902084,1906335,-4251,13.3,13.3,0
2013,1895822,1871809,24013,13.2,13,0.2
20143),1942683,1912347,30336,13.4,13.1,0.3
2015,1940579,1908541,32038,13.2,13,0.2
2016,1888729,1891015,-2286,12.8,12.8,0
2017,1690307,1826125,-135818,11.4,12.4,-1
2018,1604344,1828910,-224566,10.9,12.4,-1.5
2019,1481074,1798307,-317233,10,12.2,-2.2
2020,1436514,2138586,-702072,9.7,14.5,-4.8
2021,1398253,2441594,-1043341,9.5,16.6,-7.1
2022 5),1304087,1898644,-594557,8.9,12.9,-4
2023 5),1264354,1764618,-500264,8.6,12.1,-3.5
